1.0,864,24,1,"[[ 0.03323189 -0.16215138  0.01024792  0.46563086 -0.144677   -0.07458545
  -0.17579322 -0.15237665 -3.4045591   0.02310964  0.2323374 ]]",864,134
0.98,694,1,1,"[[ 0.7981885  -0.06651483 -0.03371584 -0.04129849 -0.2648031   0.05109454
   0.11686531  1.1569916   1.3240801  -0.17953728  0.05769673]]",694,141
0.98,694,3,1,"[[ 0.6794293  -0.09861349 -0.06235516  0.04626836 -0.45969522 -0.00298019
   0.23843792  1.9797807   1.6781225  -0.7699512   0.40470567]]",694,148
0.98,694,6,1,"[[ 0.5056124  -0.31091812 -0.0959397   0.18453477 -0.7059968  -0.1215025
   0.36142182  2.5954084   1.9906546  -0.7513637   0.03730037]]",694,155
0.98,694,12,1,"[[ 0.30134565  0.15450117 -0.10282362  0.5530159  -0.89172673 -0.41029555
   0.31997702  2.6843724   2.28258    -1.2495394   0.23089631]]",694,162
0.98,694,24,1,"[[ 0.15664995 -0.12954074 -0.17322266  1.216978   -0.46025586 -0.4324564
  -0.35583374  2.4232144   2.0395656  -0.86776567  0.30009708]]",694,169
0.98,1388,1,1,"[[ 0.79206187  0.01827021 -0.02492746 -0.04958804 -0.26806197  0.04908013
   0.11851452  0.7109395   1.085393   -0.10227939  0.02000951]]",1388,176
0.98,1388,3,1,"[[ 0.6741641   0.30427703 -0.06896757  0.03991068 -0.46334296 -0.00353909
   0.23952521  1.6296992   1.6436063  -0.81080407  0.15413783]]",1388,183
0.98,1388,6,1,"[[ 0.50423783 -0.16224821 -0.18807076  0.1824354  -0.7067433  -0.12189838
   0.36151066  2.2794728   2.116264   -0.48668587  0.64142555]]",1388,190
0.98,1388,12,1,"[[ 0.30494052 -0.18923926 -0.01460414  0.55702925 -0.8886567  -0.41089645
   0.31961673  2.80909     2.3642182  -0.8621209   0.6061504 ]]",1388,197
0.98,1388,24,1,"[[ 0.15251598 -0.12729165  0.03000208  1.2120147  -0.46445653 -0.43095714
  -0.35529605  2.0368962   2.2088199  -0.87359715  0.576166  ]]",1388,204
0.98,2082,1,1,"[[ 0.7915777   0.12410773  0.04653648 -0.05008476 -0.26841417  0.04906247
   0.11864821  0.74238056  1.0120178  -0.07162452  0.11127133]]",2082,211
0.98,2082,3,1,"[[ 0.6816976   0.13486311 -0.07876346  0.04832944 -0.45771778 -0.00330308
   0.23785955  1.856885    1.8401998  -0.92127603  0.4448197 ]]",2082,218
0.98,2082,6,1,"[[ 0.5088616  -0.21133316 -0.05529726  0.18814452 -0.70349014 -0.12157066
   0.3608695   2.6712449   2.06981    -0.74324024  0.2454769 ]]",2082,225
0.98,2082,12,1,"[[ 0.30529347  0.04018971 -0.17862837  0.5580157  -0.88868964 -0.41062889
   0.31983817  2.9750917   2.3550653  -0.88970417  0.16255048]]",2082,232
0.98,2082,24,1,"[[ 0.154908    0.12343519 -0.05419518  1.2145218  -0.46196023 -0.43187118
  -0.35572228  2.184941    2.1743898  -0.88317245  0.31950033]]",2082,239
0.98,2776,1,1,"[[ 0.7954954  -0.05361099 -0.12154076 -0.04450904 -0.26648614  0.05058841
   0.11761069  1.098548    0.97618103 -0.58335084  0.23475474]]",2776,246
0.98,2776,3,1,"[[ 0.67357355  0.2357346   0.12550606  0.03952388 -0.4639536  -0.00332658
   0.23970167  1.7491286   1.603932   -0.60211855  0.0443273 ]]",2776,253
0.98,2776,6,1,"[[ 0.49699712 -0.01668681 -0.2102939   0.17434713 -0.7122163  -0.12182181
   0.36268884  2.1552193   1.8334873  -0.54926383  0.36474097]]",2776,260
0.98,2776,12,1,"[[ 0.30476925  0.00384148 -0.06110866  0.5569608  -0.8889859  -0.41075468
   0.3197396   2.7128224   2.5241003  -0.8920674   0.30496082]]",2776,267
