Model,Mean Error,Anomaly Percentage,Anomaly Threshold
Linear_TestNumber99_Completeness1_SequenceLength864_Horizon12_WindowSize1.pt,0.649834540908264,0.014632718759145449,3.5
LSTM_TestNumber100_Completeness1_SequenceLength864_Horizon12_WindowSize3.pt,0.6850466619293467,0.014637002341920374,4.0
LSTM_TestNumber101_Completeness1_SequenceLength864_Horizon12_WindowSize6.pt,0.7271640069523471,0.32210834553440704,4.2
LSTM_TestNumber102_Completeness1_SequenceLength864_Horizon12_WindowSize12.pt,0.6530440211305628,0.0,3.9
LSTM_TestNumber103_Completeness1_SequenceLength864_Horizon12_WindowSize24.pt,0.7102451131924429,0.0,3.8
LSTM_TestNumber104_Completeness1_SequenceLength864_Horizon12_WindowSize48.pt,0.6635090046279328,0.0,3.9
LSTM_TestNumber105_Completeness1_SequenceLength864_Horizon12_WindowSize96.pt,0.6944915029581085,0.0,3.8
LSTM_TestNumber107_Completeness1_SequenceLength864_Horizon24_WindowSize3.pt,0.7836886959124179,0.0,4.1
LSTM_TestNumber108_Completeness1_SequenceLength864_Horizon24_WindowSize6.pt,0.7435555484137185,0.0,4.1
LSTM_TestNumber109_Completeness1_SequenceLength864_Horizon24_WindowSize12.pt,0.8411074605306375,0.029342723004694836,4.4
LSTM_TestNumber10_Completeness1_SequenceLength216_Horizon6_WindowSize6.pt,0.4819456729607799,0.01463057790782736,3.1
LSTM_TestNumber110_Completeness1_SequenceLength864_Horizon24_WindowSize24.pt,0.8561422730416467,0.5730238025271819,5.2
LSTM_TestNumber111_Completeness1_SequenceLength864_Horizon24_WindowSize48.pt,0.8152884161083687,0.0,4.3
LSTM_TestNumber112_Completeness1_SequenceLength864_Horizon24_WindowSize96.pt,1.178047049443885,0.0,6.8
LSTM_TestNumber114_Completeness0.98_SequenceLength694_Horizon3_WindowSize3.pt,0.22426905085928076,0.48245614035087725,1.6
LSTM_TestNumber115_Completeness0.98_SequenceLength694_Horizon3_WindowSize6.pt,0.2280348788768786,0.43878894251864853,1.6
LSTM_TestNumber116_Completeness0.98_SequenceLength694_Horizon3_WindowSize12.pt,0.21282347049405836,0.5269320843091335,1.5
LSTM_TestNumber117_Completeness0.98_SequenceLength694_Horizon3_WindowSize24.pt,0.21811422832007193,0.5129708339440129,1.5
LSTM_TestNumber118_Completeness0.98_SequenceLength694_Horizon3_WindowSize48.pt,0.21718331634867732,0.5291005291005291,1.5
LSTM_TestNumber119_Completeness0.98_SequenceLength694_Horizon3_WindowSize96.pt,0.8326952004314447,0.07390983000739099,3.4
LSTM_TestNumber11_Completeness1_SequenceLength216_Horizon6_WindowSize12.pt,0.5263983281206317,0.05856515373352855,3.6
LSTM_TestNumber121_Completeness0.98_SequenceLength694_Horizon6_WindowSize3.pt,0.3487145325154443,0.24864706742723416,2.2
LSTM_TestNumber122_Completeness0.98_SequenceLength694_Horizon6_WindowSize6.pt,0.33419031148313044,0.30724213606437456,2.3
LSTM_TestNumber123_Completeness0.98_SequenceLength694_Horizon6_WindowSize12.pt,0.2769937143663753,0.4538799414348462,2.0
LSTM_TestNumber124_Completeness0.98_SequenceLength694_Horizon6_WindowSize24.pt,0.3624465008507804,0.21994134897360706,2.0
LSTM_TestNumber125_Completeness0.98_SequenceLength694_Horizon6_WindowSize48.pt,0.2853123450865505,0.4852227613586237,1.9
LSTM_TestNumber126_Completeness0.98_SequenceLength694_Horizon6_WindowSize96.pt,0.30261542126493074,0.2809404110601804,2.1
LSTM_TestNumber128_Completeness0.98_SequenceLength694_Horizon12_WindowSize3.pt,0.5556740162498169,0.16100702576112413,3.1
