,dt,value,veh_class,location,category,key,date,time,hour-minutes,year-month-day-hour,year-month-hour,month-hour,year-month,day_of_week-hour-minutes,year-week,hours_since_midnight,minutes_since_midnight,year-quarter,month,quarter,day_in_week,day_of_week
28124,2022-11-25 12:45:00,1382,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-25,1900-01-01 12:45:00,12:45,2022-11-25 12,2022-11 12,11 12,2022-11,Friday 12:45,2022-47,12,765,2022-4,11,4,4,Friday
27559,2022-11-19 12:45:00,1377,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-19,1900-01-01 12:45:00,12:45,2022-11-19 12,2022-11 12,11 12,2022-11,Saturday 12:45,2022-46,12,765,2022-4,11,4,5,Saturday
29562,2022-12-10 12:45:00,1372,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-10,1900-01-01 12:45:00,12:45,2022-12-10 12,2022-12 12,12 12,2022-12,Saturday 12:45,2022-49,12,765,2022-4,12,4,5,Saturday
28225,2022-11-26 14:00:00,1370,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-26,1900-01-01 14:00:00,14:00,2022-11-26 14,2022-11 14,11 14,2022-11,Saturday 14:00,2022-47,14,840,2022-4,11,4,5,Saturday
188,2021-12-04 15:45:00,1361,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-04,1900-01-01 15:45:00,15:45,2021-12-04 15,2021-12 15,12 15,2021-12,Saturday 15:45,2021-48,15,945,2021-4,12,4,5,Saturday
31116,2022-12-27 14:30:00,1359,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-27,1900-01-01 14:30:00,14:30,2022-12-27 14,2022-12 14,12 14,2022-12,Tuesday 14:30,2022-52,14,870,2022-4,12,4,1,Tuesday
31304,2022-12-29 13:45:00,1355,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-29,1900-01-01 13:45:00,13:45,2022-12-29 13,2022-12 13,12 13,2022-12,Thursday 13:45,2022-52,13,825,2022-4,12,4,3,Thursday
30228,2022-12-17 15:00:00,1354,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-17,1900-01-01 15:00:00,15:00,2022-12-17 15,2022-12 15,12 15,2022-12,Saturday 15:00,2022-50,15,900,2022-4,12,4,5,Saturday
27558,2022-11-19 12:30:00,1351,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-19,1900-01-01 12:30:00,12:30,2022-11-19 12,2022-11 12,11 12,2022-11,Saturday 12:30,2022-46,12,750,2022-4,11,4,5,Saturday
30225,2022-12-17 14:15:00,1350,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-17,1900-01-01 14:15:00,14:15,2022-12-17 14,2022-12 14,12 14,2022-12,Saturday 14:15,2022-50,14,855,2022-4,12,4,5,Saturday
30750,2022-12-23 15:15:00,1347,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-23,1900-01-01 15:15:00,15:15,2022-12-23 15,2022-12 15,12 15,2022-12,Friday 15:15,2022-51,15,915,2022-4,12,4,4,Friday
31117,2022-12-27 14:45:00,1346,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-27,1900-01-01 14:45:00,14:45,2022-12-27 14,2022-12 14,12 14,2022-12,Tuesday 14:45,2022-52,14,885,2022-4,12,4,1,Tuesday
28126,2022-11-25 13:15:00,1341,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-25,1900-01-01 13:15:00,13:15,2022-11-25 13,2022-11 13,11 13,2022-11,Friday 13:15,2022-47,13,795,2022-4,11,4,4,Friday
173,2021-12-04 11:45:00,1334,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-04,1900-01-01 11:45:00,11:45,2021-12-04 11,2021-12 11,12 11,2021-12,Saturday 11:45,2021-48,11,705,2021-4,12,4,5,Saturday
31119,2022-12-27 15:15:00,1334,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-27,1900-01-01 15:15:00,15:15,2022-12-27 15,2022-12 15,12 15,2022-12,Tuesday 15:15,2022-52,15,915,2022-4,12,4,1,Tuesday
30215,2022-12-17 11:45:00,1333,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-17,1900-01-01 11:45:00,11:45,2022-12-17 11,2022-12 11,12 11,2022-12,Saturday 11:45,2022-50,11,705,2022-4,12,4,5,Saturday
