,dt,value,veh_class,location,category,key,date,time,hour-minutes,year-month-day-hour,year-month-hour,month-hour,year-month,day_of_week-hour-minutes,year-week,hours_since_midnight,minutes_since_midnight,year-quarter,month,quarter,day_in_week,day_of_week
30053,2022-12-17 15:15:00,1179,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-17,1900-01-01 15:15:00,15:15,2022-12-17 15,2022-12 15,12 15,2022-12,Saturday 15:15,2022-50,15,915,2022-4,12,4,5,Saturday
194,2021-12-04 17:15:00,1175,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-04,1900-01-01 17:15:00,17:15,2021-12-04 17,2021-12 17,12 17,2021-12,Saturday 17:15,2021-48,17,1035,2021-4,12,4,5,Saturday
188,2021-12-04 15:45:00,1171,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-04,1900-01-01 15:45:00,15:45,2021-12-04 15,2021-12 15,12 15,2021-12,Saturday 15:45,2021-48,15,945,2021-4,12,4,5,Saturday
1859,2021-12-27 13:45:00,1167,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-27,1900-01-01 13:45:00,13:45,2021-12-27 13,2021-12 13,12 13,2021-12,Monday 13:45,2021-52,13,825,2021-4,12,4,0,Monday
28046,2022-11-26 13:15:00,1164,person,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-26,1900-01-01 13:15:00,13:15,2022-11-26 13,2022-11 13,11 13,2022-11,Saturday 13:15,2022-47,13,795,2022-4,11,4,5,Saturday
29951,2022-12-16 13:45:00,1162,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-16,1900-01-01 13:45:00,13:45,2022-12-16 13,2022-12 13,12 13,2022-12,Friday 13:45,2022-50,13,825,2022-4,12,4,4,Friday
28047,2022-11-26 13:30:00,1157,person,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-26,1900-01-01 13:30:00,13:30,2022-11-26 13,2022-11 13,11 13,2022-11,Saturday 13:30,2022-47,13,810,2022-4,11,4,5,Saturday
178,2021-12-04 13:00:00,1156,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-04,1900-01-01 13:00:00,13:00,2021-12-04 13,2021-12 13,12 13,2021-12,Saturday 13:00,2021-48,13,780,2021-4,12,4,5,Saturday
180,2021-12-04 13:30:00,1156,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-04,1900-01-01 13:30:00,13:30,2021-12-04 13,2021-12 13,12 13,2021-12,Saturday 13:30,2021-48,13,810,2021-4,12,4,5,Saturday
30572,2022-12-23 15:15:00,1146,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-23,1900-01-01 15:15:00,15:15,2022-12-23 15,2022-12 15,12 15,2022-12,Friday 15:15,2022-51,15,915,2022-4,12,4,4,Friday
28049,2022-11-26 14:00:00,1127,person,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-26,1900-01-01 14:00:00,14:00,2022-11-26 14,2022-11 14,11 14,2022-11,Saturday 14:00,2022-47,14,840,2022-4,11,4,5,Saturday
28727,2022-12-03 15:45:00,1120,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-03,1900-01-01 15:45:00,15:45,2022-12-03 15,2022-12 15,12 15,2022-12,Saturday 15:45,2022-48,15,945,2022-4,12,4,5,Saturday
27386,2022-11-19 13:45:00,1109,person,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-19,1900-01-01 13:45:00,13:45,2022-11-19 13,2022-11 13,11 13,2022-11,Saturday 13:45,2022-46,13,825,2022-4,11,4,5,Saturday
177,2021-12-04 12:45:00,1108,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-04,1900-01-01 12:45:00,12:45,2021-12-04 12,2021-12 12,12 12,2021-12,Saturday 12:45,2021-48,12,765,2021-4,12,4,5,Saturday
28056,2022-11-26 15:45:00,1108,person,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-26,1900-01-01 15:45:00,15:45,2022-11-26 15,2022-11 15,11 15,2022-11,Saturday 15:45,2022-47,15,945,2022-4,11,4,5,Saturday
1217,2021-12-20 13:45:00,1105,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-20,1900-01-01 13:45:00,13:45,2021-12-20 13,2021-12 13,12 13,2021-12,Monday 13:45,2021-51,13,825,2021-4,12,4,0,Monday
30569,2022-12-23 14:30:00,1105,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-23,1900-01-01 14:30:00,14:30,2022-12-23 14,2022-12 14,12 14,2022-12,Friday 14:30,2022-51,14,870,2022-4,12,4,4,Friday
30565,2022-12-23 13:30:00,1102,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-23,1900-01-01 13:30:00,13:30,2022-12-23 13,2022-12 13,12 13,2022-12,Friday 13:30,2022-51,13,810,2022-4,12,4,4,Friday
176,2021-12-04 12:30:00,1096,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-04,1900-01-01 12:30:00,12:30,2021-12-04 12,2021-12 12,12 12,2021-12,Saturday 12:30,2021-48,12,750,2021-4,12,4,5,Saturday
27382,2022-11-19 12:45:00,1091,person,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-19,1900-01-01 12:45:00,12:45,2022-11-19 12,2022-11 12,11 12,2022-11,Saturday 12:45,2022-46,12,765,2022-4,11,4,5,Saturday
