,dt,value,veh_class,dir,location,category,key,date,time,hour-minutes,year-month-day-hour,year-month-hour,month-hour,year-month,day_of_week-hour-minutes,year-week,hours_since_midnight,minutes_since_midnight,year-quarter,month,quarter,day_in_week,day_of_week
5468,2022-02-09 13:15:00,836,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-02,2022-02-09,1900-01-01 13:15:00,13:15,2022-02-09 13,2022-02 13,02 13,2022-02,Wednesday 13:15,2022-06,13,795,2022-1,2,1,2,Wednesday
14637,2022-12-16 13:00:00,832,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-16,1900-01-01 13:00:00,13:00,2022-12-16 13,2022-12 13,12 13,2022-12,Friday 13:00,2022-50,13,780,2022-4,12,4,4,Friday
14645,2022-12-16 13:15:00,828,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-16,1900-01-01 13:15:00,13:15,2022-12-16 13,2022-12 13,12 13,2022-12,Friday 13:15,2022-50,13,795,2022-4,12,4,4,Friday
5466,2022-02-09 13:15:00,823,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow,2022-02,2022-02-09,1900-01-01 13:15:00,13:15,2022-02-09 13,2022-02 13,02 13,2022-02,Wednesday 13:15,2022-06,13,795,2022-1,2,1,2,Wednesday
1030,2021-12-04 13:45:00,820,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-04,1900-01-01 13:45:00,13:45,2021-12-04 13,2021-12 13,12 13,2021-12,Saturday 13:45,2021-48,13,825,2021-4,12,4,5,Saturday
1042,2021-12-04 14:30:00,762,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-04,1900-01-01 14:30:00,14:30,2021-12-04 14,2021-12 14,12 14,2021-12,Saturday 14:30,2021-48,14,870,2021-4,12,4,5,Saturday
15664,2022-12-17 14:45:00,757,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-17,1900-01-01 14:45:00,14:45,2022-12-17 14,2022-12 14,12 14,2022-12,Saturday 14:45,2022-50,14,885,2022-4,12,4,5,Saturday
21761,2022-11-26 15:30:00,752,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-26,1900-01-01 15:30:00,15:30,2022-11-26 15,2022-11 15,11 15,2022-11,Saturday 15:30,2022-47,15,930,2022-4,11,4,5,Saturday
15653,2022-12-17 14:30:00,735,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-17,1900-01-01 14:30:00,14:30,2022-12-17 14,2022-12 14,12 14,2022-12,Saturday 14:30,2022-50,14,870,2022-4,12,4,5,Saturday
6767,2022-11-10 13:00:00,731,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-10,1900-01-01 13:00:00,13:00,2022-11-10 13,2022-11 13,11 13,2022-11,Thursday 13:00,2022-45,13,780,2022-4,11,4,3,Thursday
15711,2022-12-17 15:45:00,727,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-17,1900-01-01 15:45:00,15:45,2022-12-17 15,2022-12 15,12 15,2022-12,Saturday 15:45,2022-50,15,945,2022-4,12,4,5,Saturday
6460,2021-12-20 13:30:00,717,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-20,1900-01-01 13:30:00,13:30,2021-12-20 13,2021-12 13,12 13,2021-12,Monday 13:30,2021-51,13,810,2021-4,12,4,0,Monday
