Model,Mean Error,Anomaly Percentage,Anomaly Threshold
LSTM_TestNumber208_Completeness0.95_SequenceLength2576_Horizon24_WindowSize24.pt,0.4456732341796023,0.4407875404055245,2.6
LSTM_TestNumber209_Completeness0.95_SequenceLength2576_Horizon24_WindowSize48.pt,0.47825408815825315,0.45675556210402235,2.7
LSTM_TestNumber20_Completeness1_SequenceLength216_Horizon6_WindowSize48.pt,0.8321414449254332,0.4411116012351125,5.0
LSTM_TestNumber210_Completeness0.95_SequenceLength2576_Horizon24_WindowSize96.pt,0.4056797120646739,0.4742145820983995,2.4
LSTM_TestNumber212_Completeness0.95_SequenceLength3864_Horizon1_WindowSize3.pt,0.1938557092837023,0.6870340593480485,1.0
LSTM_TestNumber213_Completeness0.95_SequenceLength3864_Horizon1_WindowSize6.pt,0.4166742342060682,0.0,2.8
LSTM_TestNumber214_Completeness0.95_SequenceLength3864_Horizon1_WindowSize12.pt,0.20770217702160904,0.6584723441615452,1.3
LSTM_TestNumber215_Completeness0.95_SequenceLength3864_Horizon1_WindowSize24.pt,0.24002813468642978,0.6154747948417351,1.4
LSTM_TestNumber216_Completeness0.95_SequenceLength3864_Horizon1_WindowSize48.pt,0.18085545729242314,1.0874357090374724,1.0
LSTM_TestNumber217_Completeness0.95_SequenceLength3864_Horizon1_WindowSize96.pt,0.2247077733708076,0.6354366779961578,1.5
LSTM_TestNumber219_Completeness0.95_SequenceLength3864_Horizon3_WindowSize3.pt,0.321935091088119,1.4035087719298245,2.1
LSTM_TestNumber21_Completeness1_SequenceLength216_Horizon6_WindowSize96.pt,1.3574243797565555,0.0,7.7
LSTM_TestNumber220_Completeness0.95_SequenceLength3864_Horizon3_WindowSize6.pt,0.25091132506071306,0.8336989907854322,1.4
LSTM_TestNumber221_Completeness0.95_SequenceLength3864_Horizon3_WindowSize12.pt,0.2526301864237054,0.7903981264637002,1.5
LSTM_TestNumber222_Completeness0.95_SequenceLength3864_Horizon3_WindowSize24.pt,0.2931904147610858,1.231130001465631,1.8
LSTM_TestNumber223_Completeness0.95_SequenceLength3864_Horizon3_WindowSize48.pt,0.29136256902438384,0.8818342151675485,1.9
LSTM_TestNumber224_Completeness0.95_SequenceLength3864_Horizon3_WindowSize96.pt,0.3052918618945058,0.7243163340724317,1.9
LSTM_TestNumber226_Completeness0.95_SequenceLength3864_Horizon6_WindowSize3.pt,0.3224666185251824,0.8775778850372971,2.1
LSTM_TestNumber227_Completeness0.95_SequenceLength3864_Horizon6_WindowSize6.pt,0.33112654716510054,0.8046817849305048,2.0
LSTM_TestNumber228_Completeness0.95_SequenceLength3864_Horizon6_WindowSize12.pt,0.3016465067808239,0.9077598828696924,1.8
LSTM_TestNumber229_Completeness0.95_SequenceLength3864_Horizon6_WindowSize24.pt,0.357993724093411,0.9530791788856305,2.4
LSTM_TestNumber230_Completeness0.95_SequenceLength3864_Horizon6_WindowSize48.pt,0.33078754960968476,0.8381120423467137,2.1
LSTM_TestNumber231_Completeness0.95_SequenceLength3864_Horizon6_WindowSize96.pt,0.2619004719926549,0.9315392577258613,1.5
LSTM_TestNumber233_Completeness0.95_SequenceLength3864_Horizon12_WindowSize3.pt,0.4245944778621594,0.9953161592505856,2.7
LSTM_TestNumber234_Completeness0.95_SequenceLength3864_Horizon12_WindowSize6.pt,0.4510728469494481,0.2781844802342606,2.5
LSTM_TestNumber235_Completeness0.95_SequenceLength3864_Horizon12_WindowSize12.pt,0.38458410981867364,0.5860805860805861,2.3
LSTM_TestNumber236_Completeness0.95_SequenceLength3864_Horizon12_WindowSize24.pt,0.4743615772262272,0.5868544600938966,2.6
LSTM_TestNumber237_Completeness0.95_SequenceLength3864_Horizon12_WindowSize48.pt,0.3834015524715124,0.5591524426133019,2.2
